IMPULSE,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,Spec_Flat,Spec_Band,Spec_Cent
GUN,-17.306976318359375,2929.86669921875,-541.0167846679688,329.0013122558594,362.733154296875,819.2051391601562,32.83582305908203,305.2990417480469,-61.29705047607422,-124.7921142578125,3.9271116256713867,147019.67153675304,154039.2495486909
GUN,3308.51611328125,2752.035400390625,-1193.7840576171875,-443.6177062988281,-685.7821655273438,277.70263671875,-232.7092742919922,331.71539306640625,-407.5882568359375,-326.85107421875,4.342963993549347,143621.4049539968,161943.3593314872
GUN,1264.603271484375,3560.311767578125,-1673.9752197265625,-618.7612915039062,-1268.648193359375,-213.68011474609375,-665.1163940429688,107.38175964355469,-531.7353515625,-175.80535888671875,3.176908493041992,130608.29791387511,139258.5756147912
GUN,-1676.9593505859375,4149.73486328125,-2333.588623046875,-49.39554977416992,-1092.1641845703125,64.68909454345703,-633.6834106445312,760.7224731445312,-197.3692626953125,185.39878845214844,1.7706497013568878,114589.84595681337,121362.28417294988
GUN,-4991.39453125,5394.1611328125,-2525.73828125,199.6893310546875,-1320.3583984375,-69.35557556152344,-948.0801391601562,329.6194763183594,-602.606201171875,-266.03515625,0.4794468730688095,98872.64411745587,93980.7646730551
GUN,-6810.97705078125,6128.43212890625,-2345.972412109375,538.818359375,-870.1829223632812,29.85102653503418,-782.881591796875,287.04718017578125,-183.50221252441406,-120.88628387451172,0.39018888026475906,93138.10031805465,85781.48891085485
GUN,-9288.447265625,7003.44921875,-2956.71044921875,464.9269104003906,-802.6947631835938,34.55925369262695,-696.794677734375,231.0092315673828,-140.1732177734375,-23.033432006835938,0.12316947802901268,80293.14978815877,70186.8135999562
GUN,-11178.208984375,7580.63720703125,-3054.52001953125,238.16078186035156,-681.0162963867188,-64.01746368408203,-234.01834106445312,558.4583740234375,308.9461669921875,122.35171508789062,0.020353731233626604,70896.02943502016,51840.709614032916
GUN,-12891.3056640625,7445.25244140625,-2123.00927734375,-27.63397216796875,284.28045654296875,-204.5813751220703,562.7350463867188,113.66177368164062,588.8336791992188,125.63211059570312,0.041180988773703575,81024.46282452258,50779.456803872294
GUN,-15112.943359375,8200.8984375,-2520.87255859375,176.0778045654297,99.41299438476562,-208.3872528076172,567.5147094726562,405.8752746582031,559.7916259765625,200.73739624023438,0.0013119874347466975,50494.528318343815,25820.727533223206
GUN,-17671.1875,8489.05859375,-3130.077392578125,86.41122436523438,-50.020423889160156,-172.3853302001953,371.0790100097656,358.4477233886719,365.5464782714844,-194.0801239013672,0.0025906035443767905,57345.920677283844,33949.14730286594
GUN,-16808.529296875,5932.16650390625,-1724.35302734375,-593.9840087890625,-331.967529296875,-72.29102325439453,23.273305892944336,543.9256591796875,178.7750244140625,264.9471130371094,0.05511551629751921,102255.6142480863,66437.8125229705
GUN,-18673.41015625,7046.77978515625,-1014.82421875,-776.805419921875,322.2341003417969,422.1324157714844,178.64581298828125,828.7554931640625,305.4284362792969,289.93701171875,0.009490104857832193,78007.72613371625,38036.8353100353
GUN,-20353.880859375,8313.373046875,-584.4138793945312,-357.94195556640625,1073.0594482421875,568.4813842773438,781.3232421875,1162.8853759765625,657.0709838867188,539.2654418945312,0.0005308261097525246,45728.01482493645,14601.902135775335
GUN,-21704.02734375,7887.7080078125,-77.79627227783203,-83.99951934814453,1246.0859375,451.4957275390625,494.26544189453125,977.484130859375,506.8199462890625,318.06683349609375,0.00035633067454909906,44846.904207554566,12386.903279966245
GUN,-23541.90625,8245.3974609375,-858.4083251953125,-577.0776977539062,925.7595825195312,517.2500610351562,587.3406372070312,1009.3069458007812,601.8289794921875,187.1793975830078,0.0006065468915039673,48614.35558095347,15930.443655720725
GUN,-24666.1328125,8490.0087890625,-795.8182373046875,-642.9971923828125,626.7249145507812,355.8736267089844,191.89166259765625,828.5648803710938,360.4463195800781,215.8624267578125,0.0009145923104370013,51423.467783135384,17988.405193122187
GUN,-42574.8125,2260.732666015625,1558.2421875,1406.5809326171875,1203.8603515625,1102.1197509765625,616.866455078125,716.1944580078125,262.3579406738281,246.94583129882812,1.1854321509599686,173199.7242634398,164996.80447729785
GUN,-37181.8515625,2503.82080078125,1494.2052001953125,1210.9295654296875,967.6734619140625,1062.2960205078125,639.281982421875,829.7034301757812,493.9074401855469,565.32080078125,0.9244854748249054,170451.8575984613,153337.42477985268
GUN,-34406.82421875,2676.66259765625,1713.57080078125,1455.5372314453125,901.0388793945312,1085.12939453125,589.7299194335938,640.1340942382812,228.61422729492188,547.0345458984375,0.9189856797456741,168260.82235370576,150138.74272906428
GUN,-9907.29296875,6366.55810546875,-328.3221130371094,431.7539978027344,-167.71522521972656,397.7067565917969,-827.2301635742188,16.95819854736328,-344.8849182128906,-70.13043212890625,0.41257143020629883,105274.74661047381,82183.75972961148
GUN,-6391.03564453125,7323.96923828125,-21.06781005859375,441.4099426269531,104.0348892211914,120.31560516357422,-541.302978515625,-212.58102416992188,-851.8658447265625,-321.72271728515625,0.3049241751432419,98084.8566205036,69349.51181852573
GUN,-12457.7294921875,7414.34033203125,-1172.2484130859375,1281.2716064453125,-217.32276916503906,334.9419860839844,-486.3286437988281,-366.3806457519531,-650.4517822265625,-237.2642822265625,0.23595552891492844,85390.90839805525,70225.46604759041
GUN,-14627.2939453125,6633.7802734375,-1822.3443603515625,1909.68212890625,550.8237915039062,534.7844848632812,-145.26165771484375,-180.84999084472656,-1096.071044921875,-668.57421875,0.23284869268536568,86439.72307054042,74098.58469293783
